"series","time","x","initial_value","x_obs","n_total"
"2",88,391.536921932234,100,411,600
"2",89,394.911354663036,100,343,600
"2",90,398.174362403172,100,365,600
"2",91,401.326567792509,100,394,600
"2",92,404.368882776789,100,398,600
"2",93,407.302484815928,100,371,600
"2",94,410.128793034049,100,438,600
"2",95,412.84944455928,100,400,600
"2",96,415.466271271733,100,447,600
"2",97,417.981277149468,100,473,600
"2",98,420.396616373352,100,433,600
"2",99,422.714572324087,100,447,600
"2",100,424.937537578174,100,423,600
"3",1,204.325265071005,200,209,600
"3",2,208.746807000077,200,244,600
"3",3,213.261411512955,200,222,600
"3",4,217.864870853735,200,258,600
"3",5,222.552927595603,200,179,600
"3",6,227.32079515254,200,238,600
"3",7,232.163285261977,200,235,600
"3",8,237.074739525328,200,223,600
"3",9,242.049143767218,200,219,600
"3",10,247.08011864284,200,239,600
"3",11,252.16094537654,200,144,600
"3",12,257.284600962312,200,213,600
"3",13,262.443798338534,200,240,600
"3",14,267.631024516824,200,285,600
"3",15,272.838583465737,200,385,600
"3",16,278.058642866344,200,258,600
"3",17,283.28328144302,200,301,600
"3",18,288.504537674049,200,327,600
"3",19,293.714459108221,200,242,600
"3",20,298.905151599317,200,292,600
"3",21,304.068827809754,200,272,600
"3",22,309.197854350998,200,252,600
"3",23,314.284796958989,200,326,600
"3",24,319.322463146323,200,354,600
"3",25,324.303941828042,200,380,600
"3",26,329.222639482616,200,280,600
"3",27,334.072312482137,200,324,600
"3",28,338.847095303465,200,283,600
"3",29,343.541524412866,200,314,600
"3",30,348.150557786959,200,330,600
"3",31,352.669589610361,200,343,600
"3",32,357.094460892114,200,340,600
"3",33,361.421465618486,200,279,600
"3",34,365.647352606712,200,392,600
"3",35,369.769323397639,200,356,600
"3",36,373.785026482911,200,429,600
"3",37,377.692548118706,200,340,600
"3",38,381.490400077395,200,391,600
"3",39,385.177504695558,200,365,600
"3",40,388.753177587645,200,420,600
"3",41,392.217108397724,200,375,600
"3",42,395.569339957461,200,397,600
"3",43,398.810246207911,200,395,600
"3",44,401.940509221846,200,410,600
"3",45,404.961095670155,200,361,600
"3",46,407.873232986576,200,425,600
"3",47,410.678385540807,200,433,600
"3",48,413.378231038684,200,399,600
"3",49,415.974637379063,200,418,600
"3",50,418.469640138336,200,362,600
"3",51,420.865420842648,200,407,600
"3",52,423.164286155959,200,436,600
"3",53,425.368648085254,200,413,600
"3",54,427.48100528039,200,432,600
"3",55,429.503925483544,200,412,600
"3",56,431.440029163087,200,415,600
"3",57,433.291974348595,200,459,600
"3",58,435.062442667874,200,452,600
"3",59,436.754126573153,200,496,600
"3",60,438.369717731823,200,416,600
"3",61,439.911896548122,200,440,600
"3",62,441.383322773114,200,437,600
"3",63,442.786627155199,200,344,600
"3",64,444.124404077917,200,480,600
"3",65,445.399205129568,200,440,600
"3",66,446.613533546131,200,367,600
"3",67,447.769839468244,200,464,600
"3",68,448.870515952843,200,410,600
"3",69,449.917895680643,200,405,600
"3",70,450.914248301818,200,459,600
"3",71,451.86177836396,200,483,600
"3",72,452.762623768499,200,426,600
"3",73,453.618854704171,200,463,600
"3",74,454.432473008752,200,460,600
"3",75,455.205411913057,200,504,600
"3",76,455.939536124064,200,508,600
"3",77,456.636642206926,200,488,600
"3",78,457.298459228529,200,428,600
"3",79,457.926649628096,200,404,600
"3",80,458.522810283125,200,474,600
"3",81,459.088473741382,200,440,600
"3",82,459.625109595225,200,475,600
"3",83,460.134125964572,200,446,600
"3",84,460.616871081873,200,424,600
"3",85,461.074634949428,200,453,600
"3",86,461.508651051984,200,452,600
"3",87,461.920098111719,200,441,600
"3",88,462.310101870817,200,418,600
"3",89,462.679736889371,200,503,600
"3",90,463.03002834789,200,443,600
"3",91,463.361953844984,200,470,600
"3",92,463.676445182117,200,466,600
"3",93,463.974390128369,200,454,600
"3",94,464.256634159256,200,493,600
"3",95,464.523982164508,200,463,600
"3",96,464.777200120579,200,458,600
"3",97,465.017016724399,200,501,600
"3",98,465.24412498554,200,483,600
"3",99,465.459183774559,200,437,600
"3",100,465.662819325824,200,418,600
